ID,category,loc_lat,loc_lon,St_id,St_name,outcome
69899302,anti-social-behaviour,51.530278,-0.027492,963963,On or near Hereford Road,None
69900731,anti-social-behaviour,51.515374,-0.039638,955615,On or near Matlock Street,None
69899304,anti-social-behaviour,51.530278,-0.027492,963963,On or near Hereford Road,None
69900733,anti-social-behaviour,51.530605,-0.038969,963988,On or near Gernon Road,None
69900735,anti-social-behaviour,51.517115,-0.039967,955619,On or near Dakin Place,None
69900738,anti-social-behaviour,51.517115,-0.039967,955619,On or near Dakin Place,None
69899308,anti-social-behaviour,51.525321,-0.028442,961846,On or near British Street,None
69900740,anti-social-behaviour,51.517115,-0.039967,955619,On or near Dakin Place,None
69900742,anti-social-behaviour,51.517115,-0.039967,955619,On or near Dakin Place,None
69900744,anti-social-behaviour,51.515374,-0.039638,955615,On or near Matlock Street,None
69900746,anti-social-behaviour,51.518055,-0.039177,961914,On or near Ben Jonson Road,None
69900748,anti-social-behaviour,51.518893,-0.039804,961911,On or near Dongola Road,None
69899310,anti-social-behaviour,51.517558,-0.028287,961922,On or near St Paul's Way,None
69900750,anti-social-behaviour,51.510317,-0.040547,955586,On or near Spert Street,None
69899312,anti-social-behaviour,51.517558,-0.028287,961922,On or near St Paul's Way,None
69900752,anti-social-behaviour,51.512281,-0.040188,955608,On or near Bekesbourne Street,None
69899314,anti-social-behaviour,51.517558,-0.028287,961922,On or near St Paul's Way,None
69900754,anti-social-behaviour,51.517406,-0.040704,961910,On or near Durham Row,None
69900756,anti-social-behaviour,51.521194,-0.041391,961649,On or near Duckett Street,None
69900759,anti-social-behaviour,51.530449,-0.039855,963987,On or near Grove Road,None
69899315,anti-social-behaviour,51.517558,-0.028287,961922,On or near St Paul's Way,None
69899318,anti-social-behaviour,51.527714,-0.027949,961832,On or near Harley Grove,None
69899319,anti-social-behaviour,51.512943,-0.028760,955688,On or near Shopping Area,None
69900760,anti-social-behaviour,51.514307,-0.041456,955864,On or near Belgrave Street,None
69899321,anti-social-behaviour,51.529511,-0.027352,961824,On or near Malmesbury Road,None
69900763,anti-social-behaviour,51.521194,-0.041391,961649,On or near Duckett Street,None
69899323,anti-social-behaviour,51.525321,-0.028442,961846,On or near British Street,None
69897815,anti-social-behaviour,51.523635,-0.017487,961970,On or near Purdy Street,None
69899327,anti-social-behaviour,51.520211,-0.027783,961817,On or near Robeson Street,None
69900765,anti-social-behaviour,51.510069,-0.043454,955839,On or near Jardine Road,None
69900767,anti-social-behaviour,51.516066,-0.041741,955885,On or near Belgrave Street,None
69900769,anti-social-behaviour,51.532129,-0.041874,964170,On or near Shopping Area,None
69900771,anti-social-behaviour,51.529810,-0.042521,961608,On or near Palmers Road,None
69900773,anti-social-behaviour,51.513993,-0.043617,955925,On or near Westport Street,None
69900775,anti-social-behaviour,51.513993,-0.043617,955925,On or near Westport Street,None
69900777,anti-social-behaviour,51.513993,-0.043617,955925,On or near Westport Street,None
69900779,anti-social-behaviour,51.517585,-0.043852,961784,On or near King John Street,None
69900782,anti-social-behaviour,51.517585,-0.043852,961784,On or near King John Street,None
69900784,anti-social-behaviour,51.512355,-0.042996,955823,On or near Ratcliffe Cross Street,None
69900786,anti-social-behaviour,51.532129,-0.041874,964170,On or near Shopping Area,None
69900833,anti-social-behaviour,51.521321,-0.045206,961585,On or near White Horse Lane,None
69899329,anti-social-behaviour,51.520211,-0.027783,961817,On or near Robeson Street,None
69899331,anti-social-behaviour,51.520211,-0.027783,961817,On or near Robeson Street,None
69900835,anti-social-behaviour,51.521321,-0.045206,961585,On or near White Horse Lane,None
69900837,anti-social-behaviour,51.521321,-0.045206,961585,On or near White Horse Lane,None
69900839,anti-social-behaviour,51.523369,-0.045061,961676,On or near Alderney Road,None
